Distance	Frequency
0.0	13667
0.0432	2
0.0865	0
0.1297	6
0.1729	44
0.2161	27
0.2594	94
0.3026	89
0.3458	111
0.3891	161
0.4323	287
0.4755	324
0.5187	292
0.562	1054
0.6052	1055
0.6484	851
0.6917	740
0.7349	1509
0.7781	1433
0.8213	1035
0.8646	1446
0.9078	711
0.951	1051
0.9943	1841
1.0375	1549
1.0807	1556
1.1239	2045
1.1672	2303
1.2104	1760
1.2536	2686
1.2969	2867
1.3401	3133
1.3833	6233
1.4265	5047
1.4698	4873
1.513	4822
1.5562	5108
1.5994	4575
1.6427	4723
1.6859	5395
1.7291	5029
1.7724	5176
1.8156	6473
1.8588	8049
1.902	8040
1.9453	11421
1.9885	8719
2.0317	7817
2.075	6888
2.1182	12022
2.1614	11941
2.2046	10155
2.2479	11895
2.2911	8711
2.3343	9865
2.3776	9384
2.4208	10532
2.464	11184
2.5072	7371
2.5505	8696
2.5937	10323
2.6369	9179
2.6802	10835
2.7234	11330
2.7666	11452
2.8098	10539
2.8531	11214
2.8963	11435
2.9395	11789
2.9828	8900
3.026	10488
3.0692	10435
3.1124	10441
3.1557	9427
3.1989	8694
3.2421	10219
3.2854	7489
3.3286	9402
3.3718	8933
3.415	8343
3.4583	8885
3.5015	8723
3.5447	8332
3.588	8207
3.6312	11365
3.6744	10660
3.7176	9716
3.7609	8103
3.8041	6471
3.8473	8248
3.8906	8131
3.9338	7358
3.977	7255
4.0202	8071
4.0635	7641
4.1067	10608
4.1499	12084
4.1931	11305
4.2364	12084
4.2796	19243
4.3228	13377
4.3661	8192
4.4093	6573
4.4525	7697
4.4957	4679
4.539	5554
4.5822	10135
4.6254	4804
4.6687	10340
4.7119	9282
4.7551	20939
4.7983	9490
4.8416	11024
4.8848	5090
4.928	1769
4.9713	3778
5.0145	4289
5.0577	1116
5.1009	432
5.1442	2746
5.1874	376
5.2306	446
5.2739	4773
5.3171	144
5.3603	450
5.4035	94
5.4468	181
5.49	1
5.5332	48
5.5765	0
5.6197	36
5.6629	0
5.7061	0
5.7494	0
5.7926	0
5.8358	0
5.8791	0
5.9223	0
5.9655	0
6.0087	0
6.052	0
6.0952	0
6.1384	0
6.1817	0
6.2249	0
6.2681	0
6.3113	0
6.3546	0
6.3978	0
6.441	0
6.4843	0
6.5275	0
6.5707	0
6.6139	0
6.6572	0
6.7004	0
6.7436	0
6.7868	0
6.8301	0
6.8733	0
6.9165	0
6.9598	0
7.003	0
7.0462	0
7.0894	0
7.1327	0
7.1759	0
7.2191	0
7.2624	0
7.3056	0
7.3488	0
7.392	0
7.4353	0
7.4785	0
7.5217	0
7.565	0
7.6082	0
7.6514	0
7.6946	0
7.7379	0
7.7811	0
7.8243	0
7.8676	0
7.9108	0
7.954	0
7.9972	0
8.0405	0
8.0837	0
8.1269	0
8.1702	0
8.2134	0
8.2566	0
8.2998	0
8.3431	0
8.3863	0
8.4295	0
8.4728	0
8.516	0
8.5592	0
8.6024	0
8.6457	0
8.6889	0
8.7321	0
8.7754	0
8.8186	0
8.8618	0
8.905	0
8.9483	0
8.9915	0
9.0347	0
9.078	0
9.1212	0
9.1644	0
9.2076	0
9.2509	0
9.2941	0
9.3373	0
9.3805	0
9.4238	0
9.467	0
9.5102	0
9.5535	0
9.5967	0
9.6399	0
9.6831	0
9.7264	0
9.7696	0
9.8128	0
9.8561	0
9.8993	0
9.9425	0
9.9857	0
10.029	0
10.0722	0
10.1154	0
10.1587	0
10.2019	0
10.2451	0
10.2883	0
10.3316	0
10.3748	0
10.418	0
10.4613	0
10.5045	0
10.5477	0
10.5909	0
10.6342	0
10.6774	0
10.7206	0
10.7639	0
10.8071	0
10.8503	0
10.8935	0
10.9368	0
10.98	0
11.0232	0
11.0665	0
11.1097	0
11.1529	0
11.1961	0
11.2394	0
11.2826	0
11.3258	0
11.3691	0
11.4123	0
11.4555	0
11.4987	0
11.542	0
11.5852	0
11.6284	0
11.6717	0
11.7149	0
11.7581	0
11.8013	0
11.8446	0
11.8878	0
11.931	0
11.9742	0
12.0175	0
12.0607	0
12.1039	0
12.1472	0
12.1904	0
12.2336	0
12.2768	0
12.3201	0
12.3633	0
12.4065	0
12.4498	0
12.493	0
12.5362	0
12.5794	0
12.6227	0
12.6659	0
12.7091	0
12.7524	0
12.7956	0
12.8388	0
12.882	0
12.9253	0
12.9685	0
13.0117	0
13.055	0
13.0982	0
13.1414	0
13.1846	0
13.2279	0
13.2711	0
13.3143	0
13.3576	0
13.4008	0
13.444	0
13.4872	0
13.5305	0
13.5737	0
13.6169	0
13.6602	0
13.7034	0
13.7466	0
13.7898	0
13.8331	0
13.8763	0
13.9195	0
13.9628	0
14.006	0
14.0492	0
14.0924	0
14.1357	0
14.1789	0
14.2221	0
14.2654	0
14.3086	0
14.3518	0
14.395	0
14.4383	0
14.4815	0
14.5247	0
14.5679	0
14.6112	0
14.6544	0
14.6976	0
14.7409	0
14.7841	0
14.8273	0
14.8705	0
14.9138	0
14.957	0
15.0002	0
15.0435	0
15.0867	0
15.1299	0
15.1731	0
15.2164	0
15.2596	0
15.3028	0
15.3461	0
15.3893	0
15.4325	0
15.4757	0
15.519	0
15.5622	0
15.6054	0
15.6487	0
15.6919	0
15.7351	0
15.7783	0
15.8216	0
15.8648	0
15.908	0
15.9513	0
15.9945	0
16.0377	0
16.0809	0
16.1242	0
16.1674	0
16.2106	0
16.2539	0
16.2971	0
16.3403	0
16.3835	0
16.4268	0
16.47	0
16.5132	0
16.5565	0
16.5997	0
16.6429	0
16.6861	0
16.7294	0
16.7726	0
16.8158	0
16.8591	0
16.9023	0
16.9455	0
16.9887	0
17.032	0
17.0752	0
17.1184	0
17.1617	0
17.2049	0
17.2481	0
17.2913	0
17.3346	0
17.3778	0
17.421	0
